"domain","notebook_heading","variable_label","indicator_code","category_id","category_title","chart_type","analytical_question","availability","portability","source_or_adapter","notes"
"Core country profile","Child survival","Under-five mortality rate","SH.DYN.MORT","health","Health Outcomes Capacity and Financing","trend","How rapidly is child survival improving relative to peers?","adapter_ready_not_in_run","international_comparable","World Bank and UN IGME","Modeled estimates combine multiple source types."
"Core country profile","Maternal survival","Maternal mortality ratio","SH.STA.MMRT","health","Health Outcomes Capacity and Financing","trend","How large is the maternal mortality burden relative to peers?","adapter_ready_not_in_run","international_comparable","World Bank and UN inter-agency estimates","Uncertainty is substantial where registration systems are incomplete."
"Core country profile","Financial inclusion","Account ownership","FX.OWN.TOTL.ZS","basic-services","Water Sanitation and Financial Inclusion","latest_bar","How broad is access to a financial or mobile-money account?","adapter_ready_not_in_run","international_comparable","World Bank Global Findex","Survey waves are intermittent and ownership does not imply active use."
"Core country profile","Drinking water","Safely managed drinking water services","SH.H2O.SMDW.ZS","basic-services","Water Sanitation and Financial Inclusion","trend","How broad is access to safely managed drinking water?","adapter_ready_not_in_run","international_comparable","World Bank and WHO UNICEF JMP","Do not substitute basic-service coverage when safely managed data are missing."
"Core country profile","Sanitation","Safely managed sanitation services","SH.STA.SMSS.ZS","basic-services","Water Sanitation and Financial Inclusion","trend","How broad is access to safely managed sanitation?","adapter_ready_not_in_run","international_comparable","World Bank and WHO UNICEF JMP","Safely managed sanitation is stricter than basic sanitation."
"Core country profile","Climate context","CO2 emissions excluding LULUCF per capita","EN.GHG.CO2.PC.CE.AR5","environment","Environmental Pressure","trend","How large are territorial carbon-dioxide emissions per person?","adapter_ready_not_in_run","international_comparable","World Bank WDI","This excludes land-use change and does not measure climate vulnerability."
"Core country profile","Legal institutions","Rule of law","GOV_WGI_RL.EST","governance","Governance and Executive Organization","latest_bar","How is rule-of-law performance perceived relative to peers?","adapter_ready_not_in_run","international_comparable","World Bank WGI","Use the estimate with its standard error and source composition."
"Core country profile","Integrity institutions","Control of corruption","GOV_WGI_CC.EST","governance","Governance and Executive Organization","latest_bar","How is control of corruption perceived relative to peers?","adapter_ready_not_in_run","international_comparable","World Bank WGI","This is not a direct count of corruption."
"Core country profile","Political accountability","Voice and accountability","GOV_WGI_VA.EST","governance","Governance and Executive Organization","latest_bar","How is voice and accountability perceived relative to peers?","adapter_ready_not_in_run","international_comparable","World Bank WGI","The composite cannot identify which institution drives change."
"Core country profile","Security context","Political stability and absence of violence","GOV_WGI_PV.EST","governance","Governance and Executive Organization","latest_bar","How is political stability perceived relative to peers?","adapter_ready_not_in_run","international_comparable","World Bank WGI","Use event-level conflict data for mechanism-specific claims."
"Core country profile","Regulatory institutions","Regulatory quality","GOV_WGI_RQ.EST","governance","Governance and Executive Organization","latest_bar","How is regulatory quality perceived relative to peers?","adapter_ready_not_in_run","international_comparable","World Bank WGI","The composite cannot identify sector-specific implementation."
"Workflow","Install World Trade Information Database library (underconstruction)","Experimental WITS setup cell","","workflow","Workflow Notes","none","","non_variable","not_applicable","Excluded from chart catalog","The notebook itself marks this component under construction."
"Workflow","SAS ODA Login; libraries; KOSIS helper and plotting functions","Notebook setup and helper code","","workflow","Workflow Notes","none","","non_variable","not_applicable","Excluded from chart catalog","Credentials and implementation code are never copied into report assets."
"Workflow","Task and Summary cells","Notebook task notes and generated summaries","","workflow","Workflow Notes","none","","non_variable","not_applicable","Excluded from chart catalog","These are workflow records, not statistical measures."
